0	1	2	-132.580276
0	1	19	-135.301361
0	1	6	-136.379501
0	1	8	-136.419434
0	1	1	-139.812988
0	1	9	-140.409683
0	1	10	-141.676804
0	1	15	-144.047256
0	1	12	-144.780121
0	1	3	-149.472107
0	1	0	-149.898193
0	1	14	-150.599426
0	1	5	-150.650940
0	1	11	-160.127335
0	1	4	-162.919724
0	1	7	-181.901382
0	1	18	-201.317719
0	1	17	-220.200592
0	1	13	-220.823441
0	1	16	-228.373352
0	2	5	-125.920349
0	2	14	-130.673386
0	2	9	-131.704102
0	2	3	-132.726410
0	2	11	-132.839050
0	2	8	-134.463104
0	2	4	-138.475067
0	2	2	-142.451843
0	2	15	-146.844376
0	2	10	-146.895233
0	2	1	-147.912872
0	2	13	-151.107285
0	2	7	-152.270294
0	2	6	-155.089783
0	2	19	-160.690765
0	2	17	-218.444092
0	2	0	-221.081100
0	2	12	-222.246109
0	2	18	-224.062744
0	2	16	-233.413620
0	3	9	-139.376282
0	3	14	-148.107391
0	3	5	-150.567200
0	3	11	-151.038376
0	3	8	-152.762939
0	3	1	-152.782959
0	3	2	-152.851486
0	3	10	-155.806183
0	3	3	-158.729126
0	3	19	-162.217133
0	3	4	-162.399704
0	3	6	-175.483322
0	3	7	-178.011261
0	3	15	-178.014069
0	3	0	-193.889175
0	3	17	-201.300247
0	3	12	-212.273926
0	3	18	-215.406387
0	3	13	-215.449585
0	3	16	-234.470276
0	14	52	-136.858292
0	14	22	-144.342407
0	14	26	-148.532898
0	14	32	-150.376587
0	14	54	-151.645706
0	14	56	-152.992294
0	14	72	-156.434372
0	14	3	-156.481705
0	14	58	-159.467010
0	14	38	-159.883530
0	14	62	-164.280640
0	14	63	-167.459900
0	14	51	-167.590790
0	14	45	-168.705673
0	14	43	-176.645355
0	14	20	-177.348480
0	14	85	-177.779373
0	14	53	-178.135208
0	14	61	-178.218048
0	14	57	-183.295013
0	14	31	-183.306763
0	14	28	-187.600983
0	14	27	-191.599106
0	14	29	-192.147919
0	14	40	-193.729324
0	14	25	-194.226105
0	14	46	-194.946564
0	14	37	-197.333130
0	14	50	-199.060104
0	14	8	-201.499176
0	14	47	-202.523804
0	14	48	-204.669998
0	14	14	-204.743195
0	14	30	-205.938934
0	14	75	-208.028046
0	14	21	-208.227509
0	14	42	-210.377396
0	14	18	-210.724991
0	14	65	-211.463440
0	14	66	-213.934616
0	14	69	-216.995773
0	14	73	-220.777008
0	14	11	-220.945282
0	14	36	-223.571075
0	14	64	-223.605255
0	14	23	-225.052856
0	14	79	-226.607056
0	14	41	-227.281174
0	14	33	-227.362762
0	14	34	-228.104370
0	14	24	-228.853546
0	14	39	-229.577515
0	14	16	-232.159683
0	14	71	-232.358093
0	14	35	-232.791855
0	14	44	-233.000473
0	14	70	-233.205429
0	14	77	-233.470428
0	14	74	-233.832428
0	14	49	-234.797256
0	14	76	-235.481735
0	14	55	-237.062256
0	14	78	-237.167740
0	15	52	-135.314545
0	15	26	-140.424866
0	15	56	-143.976654
0	15	22	-144.413681
0	15	38	-145.614288
0	15	32	-146.395233
0	15	58	-152.890274
0	15	50	-156.730988
0	15	62	-156.916412
0	15	54	-157.986328
0	15	45	-160.640930
0	15	72	-164.445389
0	15	57	-172.449707
